gram,counts
covid 19,65283
vaccine doses,2138
fully vaccinated,1268
new cases,1072
public health,991
wisma atlet,707
booster shots,678
booster shot,663
crore vaccine,660
oct21coup whatshappeninginmyanmar,533
congratulations india,511
health workers,509
health care,459
healthcare workers,449
tested positive,447
vaccine mandates,437
vaccine mandate,419
united states,406
boris johnson,394
vaccine booster,376
new variants,373
infections risen,371
risen recently,371
recently since,371
ago infections,371
found naungmon,371
infections hv,369
whatshappeninginmyanmar candlestrike,359
24 hours,358
