gram,counts
true href rel,4092
rel nofollow twitter,3434
nofollow twitter web,2314
twitter web app,1987
new york times,1818
towards cashless society,1649
cashless society know,1483
roy horn siegfried,1359
stay at home,1332
pence press secretary,1246
safe stay home,1005
staffer tests positive,938
id heading towards,898
towards future cashless,898
society did know,898
future cashless society,898
heading towards future,898
cashless society did,898
covert id heading,898
nofollow twitter android,893
treatment completely eliminate,828
pence staffer tests,815
